"","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usrNMNAR","HotDeckUSRMNAR","usroriginalnonemissing","HotDeckUSRMAR","usr1MAR","nysid","Urban","Suburban","Rural","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3","UrbanMAR","SuburbanMAR","RuralMAR","HDUrban","HDSuburban","HDRural","MissingUSRDummy","UrbanMNAR","RuralMNAR","HDUrbanMNAR","HDSuburbanMNAR","HDRuralMNAR"
"1349",1,2,14,5,4,1,1,1,1,5,5,2,5,5,2,3,3,4,1,2,2,2,2,2,375403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1352",1,2,14,5,4,1,3,2,2,5,4,3,4,5,3,4,2,4,1,2,2,2,2,2,69502,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1353",1,2,14,5,4,1,3,3,1,5,5,2,5,5,3,4,3,4,1,2,2,2,2,2,309904,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1354",1,2,14,5,5,1,3,4,2,5,5,3,5,5,4,4,1,4,1,1,1,1,1,1,498702,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,1,0,0,1,0,0,0,0,0,1,0,0
"1355",1,2,14,5,5,1,5,2,2,5,5,2,5,5,4,4,3,4,1,3,3,3,3,3,531902,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1356",1,2,14,5,2,1,5,5,2,4,4,5,2,4,1,4,3,4,2,2,2,2,2,2,717802,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1357",1,2,14,5,5,2,1,1,1,5,5,1,5,5,2,4,1,4,1,2,2,2,2,2,109803,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1358",1,2,14,5,4,2,1,2,1,5,5,2,5,1,1,4,2,4,3,3,3,3,3,3,612702,0,0,1,1.098612289,0,1,0,0,0,1,1,0,0,1,1,5,1,6,1.945910149,1,0,0,1,0,0,1,0,0,1,0,0,1
"1359",1,2,14,5,5,2,1,3,1,5,4,2,3,4,3,4,3,4,2,2,2,2,2,2,318602,0,1,0,1.098612289,0,1,0,0,0,0,1,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1360",1,2,14,5,5,2,1,4,4,5,5,2,5,5,2,3,3,4,1,2,2,2,2,2,787704,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1362",1,2,14,5,4,2,3,1,1,5,5,2,4,5,4,4,2,4,1,2,2,2,2,2,119802,0,1,0,1.098612289,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1363",1,2,14,5,4,2,3,1,2,4,4,2,5,5,3,4,2,4,1,3,3,3,3,3,559203,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1364",1,2,14,5,5,2,3,2,1,4,4,2,3,5,4,4,1,4,1,2,2,2,2,2,137002,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1366",1,2,14,5,4,2,3,2,1,5,5,2,4,5,4,4,3,4,1,1,1,1,1,1,476202,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1368",1,2,14,5,2,2,3,2,2,4,4,2,4,4,3,4,2,3,1,3,3,3,3,3,753802,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1371",1,2,14,5,5,2,3,2,2,5,5,2,5,4,4,4,3,4,1,3,3,3,3,3,567402,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1372",1,2,14,5,5,2,3,2,2,5,5,2,5,5,2,2,1,4,1,2,2,2,2,2,617502,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1373",1,2,14,5,3,2,3,2,2,5,5,2,5,5,4,4,1,4,2,3,3,3,3,3,636502,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1374",1,2,14,5,4,2,3,2,4,4,5,2,5,4,4,2,1,4,1,3,3,3,3,3,657103,0,0,1,1.098612289,1,1,0,0,0,1,1,0,0,0,1,5,1,6,1.945910149,1,0,0,1,0,0,1,0,0,1,0,0,1
"1376",1,2,14,5,4,2,3,4,2,4,4,2,4,5,4,4,1,4,1,2,2,2,2,2,610402,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1378",1,2,14,5,5,2,5,1,1,5,5,1,5,5,1,4,3,4,1,2,2,2,2,2,236302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1379",1,2,14,5,4,2,5,1,1,5,5,1,5,5,2,4,2,4,1,3,3,3,3,3,794802,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1380",1,2,14,5,4,2,5,2,1,4,5,2,5,5,4,4,2,4,1,2,2,2,2,2,203602,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1382",1,2,14,5,5,2,5,2,2,4,4,3,4,4,2,4,2,4,1,2,2,2,2,2,145402,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
