"","technique","mis.variable","mis.type","mis.level","sum.bias.sq","sqrt.sbs"
"48","hot","y1v19","mnar","05",0.000594261388731452,0.0243774770788827
"49","hot","age","mnar","25",0.0398431725716289,0.199607546379462
"50","hot","usr","mnar","25",3.9273796005031e-05,0.0062668808832649
"51","hot","y1v19","mnar","25",0.015569196032896,0.124776584473594
"52","hot","age","mnar","50",0.22460567327214,0.473925809881821
"53","hot","usr","mnar","50",0.000631266250975096,0.0251250124572127
"54","hot","y1v19","mnar","50",0.0834289940111048,0.288840776226462
"55","rf","age","mar.sex","05",2.68532447899372e-05,0.00518201165474734
"56","rf","usr","mar.sex","05",1.81527785286878e-05,0.00426060776517715
"57","rf","y1v19","mar.sex","05",2.13388797251254e-06,0.00146078334208483
"58","rf","age","mar.sex","25",0.000873943416896018,0.0295625340066784
"59","rf","usr","mar.sex","25",0.00040737681814407,0.0201835779321722
"60","rf","y1v19","mar.sex","25",1.65376079356516e-05,0.00406664578438443
"61","rf","age","mar.sex","50",0.0094086934699922,0.0969984199355443
"62","rf","usr","mar.sex","50",0.0023662431326832,0.0486440451924303
"63","rf","y1v19","mar.sex","50",0.000388611618474934,0.0197132346020366
"64","rf","age","mcar","05",1.07923175529245e-05,0.00328516628999577
"65","rf","usr","mcar","05",3.2702618870579e-06,0.00180838654248971
"66","rf","y1v19","mcar","05",6.0346313219858e-06,0.00245654866061835
"67","rf","age","mcar","25",5.59080276921264e-05,0.00747716709002323
"68","rf","usr","mcar","25",5.70922990329063e-05,0.00755594461552666
"69","rf","y1v19","mcar","25",7.27032152072126e-05,0.00852661804041981
"70","rf","age","mcar","50",0.000252575902187109,0.0158926367285957
"71","rf","usr","mcar","50",0.000172484342800847,0.0131333294636527
"72","rf","y1v19","mcar","50",0.000420051907371977,0.0204951679029955
"73","rf","age","mnar","05",8.22530667728425e-05,0.00906934764869241
"74","rf","usr","mnar","05",5.72501584541582e-06,0.00239270053400249
"75","rf","y1v19","mnar","05",7.61251401561446e-06,0.00275907847217408
"76","rf","age","mnar","25",0.00206727025011191,0.0454672437048026
"77","rf","usr","mnar","25",0.000164639202406578,0.0128311808656327
"78","rf","y1v19","mnar","25",0.000163000272842382,0.0127671560201316
"79","rf","age","mnar","50",0.0156220336294169,0.124988133954455
"80","rf","usr","mnar","50",0.000273258740277784,0.0165305396245187
"81","rf","y1v19","mnar","50",0.000356365131700449,0.0188776357550528
"82","lwd","age","mar.sex","05",1.20279927644776e-05,0.00346813966911335
"83","lwd","usr","mar.sex","05",0.121713538981145,0.348874675178845
"84","lwd","y1v19","mar.sex","05",2.82183193777457e-05,0.00531209180810589
"85","lwd","age","mar.sex","25",0.000176384064345929,0.0132809662429331
"86","lwd","usr","mar.sex","25",0.12874912996951,0.358816290000204
"87","lwd","y1v19","mar.sex","25",0.000262630809940111,0.01620588812562
"88","lwd","age","mar.sex","50",0.00135605921376818,0.0368247092828739
"89","lwd","usr","mar.sex","50",0.139671680620768,0.373726745926443
"90","lwd","y1v19","mar.sex","50",0.00275856753470664,0.052522067121417
"91","lwd","age","mcar","05",1.5564573966653e-05,0.00394519631535023
"92","lwd","usr","mcar","05",0.120184896554149,0.346676933980542
"93","lwd","y1v19","mcar","05",1.51812460039785e-05,0.0038963118463463
"94","lwd","age","mcar","25",1.00335914898565e-05,0.00316758448819546
"95","lwd","usr","mcar","25",0.120425835924076,0.347024258408654
"96","lwd","y1v19","mcar","25",7.88567488702935e-05,0.00888013225522534
"97","lwd","age","mcar","50",7.52504405901108e-05,0.00867470118160336
"98","lwd","usr","mcar","50",0.125187080080899,0.35381786286294
"99","lwd","y1v19","mcar","50",0.000841938175822988,0.0290161709366172
"100","lwd","age","mnar","05",0.0448236859390009,0.211716050263084
"101","lwd","usr","mnar","05",0.121984955171233,0.349263446657724
"102","lwd","y1v19","mnar","05",8.47696979941079e-06,0.0029115236216474
"103","lwd","age","mnar","25",0.00100266512756393,0.0316648879291232
"104","lwd","usr","mnar","25",0.121391214711027,0.34841242043163
"105","lwd","y1v19","mnar","25",0.000132788504979764,0.0115233894744456
"106","lwd","age","mnar","50",0.0531444766313813,0.230530858306174
"107","lwd","usr","mnar","50",0.138967407171549,0.372783324696195
"108","lwd","y1v19","mnar","50",0.00230446934060892,0.0480048887157227
